,SE UniICD,System,Description
28,9:794,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
29,9:794A,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
30,9:794B,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
31,9:794C,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
32,9:794D,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
33,9:794E,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
34,9:794F,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
35,9:794G,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
36,9:794H,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
37,9:794W,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
38,9:794X,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
39,10:R70,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
40,10:R71,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
41,10:R73,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
42,10:R74,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
43,10:R75,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
44,10:R76,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
45,10:R77,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
46,10:R78,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
47,10:R79,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
48,8:037,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
49,8:039,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
50,"8:039,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
51,8:056,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
52,8:079,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
53,8:112,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
54,8:360,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
55,8:368,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
56,8:678,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
57,8:758,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
58,8:771,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
59,8:778,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
60,"8:778,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
61,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
62,"8:788,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
63,9:771,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
64,9:771W,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
65,9:790,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
66,9:790A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
67,9:790B,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
68,9:790C,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
69,9:790D,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
70,9:790E,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
71,9:790F,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
72,9:790G,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
73,9:790H,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
74,9:790X,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
75,9:795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
76,9:795F,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
77,9:795G,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
78,9:795H,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
79,10:R83,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
80,10:R84,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
81,10:R85,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
82,10:R86,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
83,10:R87,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
84,10:R88,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
85,10:R89,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
86,8:458,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
87,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
88,"8:788,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
89,8:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
90,"8:796,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
91,9:792,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
92,9:792A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
93,9:792C,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
94,9:792E,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
95,9:792F,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
96,9:792X,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
97,9:795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
98,9:795A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
99,9:795B,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
100,9:795C,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
101,9:795D,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
102,9:795E,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
103,9:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
104,9:796A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
105,9:796H,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
106,10:R80,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
107,10:R81,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
108,10:R82,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
109,8:458,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
110,8:593,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
111,"8:593,2","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
112,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
113,"8:788,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
114,8:789,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
115,"8:789,0","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
116,"8:789,2","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
117,"8:789,4","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
118,"8:789,5","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
119,"8:789,6","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
120,"8:789,9","Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
121,8:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
122,9:593,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
123,9:593G,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
124,9:791,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
125,9:791A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
126,9:791B,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
127,9:791C,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
128,9:791D,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
129,9:791E,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
130,9:791F,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
131,9:791G,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
132,9:791H,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
133,9:791X,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
134,9:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
135,9:796A,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
136,10:A20,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
137,10:A21,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
138,10:A22,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
139,10:A23,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
140,10:A24,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
141,10:A25,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
142,10:A26,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
143,10:A27,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
144,10:A28,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
145,8:020,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
146,"8:020,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
147,"8:020,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
148,"8:020,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
149,8:021,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
150,8:022,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
151,8:023,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
152,"8:023,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
153,"8:023,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
154,"8:023,2","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
155,"8:023,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
156,8:024,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
157,8:025,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
158,8:026,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
159,"8:026,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
160,"8:026,2","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
161,"8:026,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
162,8:027,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
163,"8:027,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
164,"8:027,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
165,8:067,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
166,8:079,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
167,"8:079,3","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
168,8:099,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
169,8:100,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
170,"8:100,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
171,"8:100,8","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
172,"8:100,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
173,8:136,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
174,8:269,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
175,8:482,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
176,"8:482,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
177,8:483,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
178,8:692,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
179,8:708,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
180,8:788,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
181,"8:788,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
182,8:962,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
183,8:968,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
184,8:977,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
185,8:988,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
186,8:994,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
187,8:995,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
188,8:E930,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
189,8:E934,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
190,8:E936,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
191,8:E968,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
192,9:020,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
193,9:020A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
194,9:020B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
195,9:020C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
196,9:020D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
197,9:020E,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
198,9:020F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
199,9:020W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
200,9:020X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
201,9:021,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
202,9:021A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
203,9:021B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
204,9:021C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
205,9:021D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
206,9:021W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
207,9:021X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
208,9:022,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
209,9:022A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
210,9:022B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
211,9:022C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
212,9:022D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
213,9:022W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
214,9:022X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
215,9:023,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
216,9:023A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
217,9:023B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
218,9:023C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
219,9:023D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
220,9:023W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
221,9:023X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
222,9:024,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
223,9:025,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
224,9:026,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
225,9:026A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
226,9:026B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
227,9:026X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
228,9:027,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
229,9:027B,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
230,9:027C,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
231,9:027W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
232,9:027X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
233,9:078,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
234,9:078D,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
235,9:100,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
236,9:100A,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
237,9:100W,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
238,9:100X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
239,9:484,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
240,9:484F,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
241,9:995,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
242,9:995X,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
243,10:A50,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
244,10:A51,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
245,10:A52,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
246,10:A53,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
247,10:A54,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
248,10:A55,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
249,10:A56,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
250,10:A57,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
251,10:A58,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
252,10:A59,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
253,10:A60,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
254,10:A63,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
255,10:A64,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
256,8:054,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
257,8:067,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
258,8:079,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
259,"8:079,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
260,8:090,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
261,"8:090,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
262,"8:090,1","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
263,"8:090,2","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
264,"8:090,3","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
265,"8:090,4","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
266,"8:090,5","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
267,"8:090,6","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
268,"8:090,7","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
269,"8:090,9","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
270,8:091,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
271,"8:091,0","Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
