,US UniICD,System,Description
28,9:7938,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
29,9:79380,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
30,9:79381,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
31,9:79382,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
32,9:79389,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
33,9:7939,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
34,9:79391,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
35,9:79399,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
36,9:794,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
37,9:7940,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
38,9:79400,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
39,9:79401,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
40,9:79402,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
41,9:79409,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
42,9:7941,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
43,9:79410,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
44,9:79411,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
45,9:79412,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
46,9:79413,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
47,9:79414,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
48,9:79415,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
49,9:79416,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
50,9:79417,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
51,9:79419,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
52,9:7942,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
53,9:7943,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
54,9:79430,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
55,9:79431,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
56,9:79439,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
57,9:7944,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
58,9:7945,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
59,9:7946,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
60,9:7947,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
61,9:7948,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
62,9:7949,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
63,10:R70,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
64,10:R71,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
65,10:R73,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
66,10:R74,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
67,10:R75,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
68,10:R76,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
69,10:R77,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
70,10:R78,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
71,10:R79,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
72,8:037,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
73,8:039,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
74,8:039.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
75,8:056,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
76,8:079,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
77,8:112,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
78,8:360,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
79,8:368,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
80,8:678,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
81,8:758,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
82,8:771,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
83,8:778,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
84,8:778.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
85,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
86,8:788.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
87,9:771,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
88,9:7718,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
89,9:77183,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
90,9:790,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
91,9:7900,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
92,9:79001,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
93,9:79009,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
94,9:7901,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
95,9:7902,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
96,9:79021,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
97,9:79022,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
98,9:79029,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
99,9:7903,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
100,9:7904,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
101,9:7905,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
102,9:7906,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
103,9:7907,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
104,9:7909,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
105,9:79091,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
106,9:79092,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
107,9:79095,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
108,9:79099,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
109,9:795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
110,9:7955,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
111,9:79551,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
112,9:79552,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
113,9:7956,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
114,9:7957,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
115,9:79571,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
116,9:79579,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
117,10:R83,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
118,10:R84,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
119,10:R85,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
120,10:R86,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
121,10:R87,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
122,10:R88,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
123,10:R89,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
124,8:458,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
125,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
126,8:788.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
127,8:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
128,8:796.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
129,9:792,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
130,9:7920,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
131,9:7922,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
132,9:7924,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
133,9:7925,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
134,9:7929,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
135,9:795,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
136,9:7950,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
137,9:79500,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
138,9:79501,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
139,9:79502,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
140,9:79503,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
141,9:79504,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
142,9:79505,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
143,9:79506,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
144,9:79507,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
145,9:79508,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
146,9:79509,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
147,9:7951,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
148,9:79510,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
149,9:79511,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
150,9:79512,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
151,9:79513,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
152,9:79514,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
153,9:79515,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
154,9:79516,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
155,9:79518,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
156,9:79519,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
157,9:7952,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
158,9:7953,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
159,9:79531,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
160,9:79539,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
161,9:7954,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
162,9:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
163,9:7960,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
164,9:7967,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
165,9:79670,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
166,9:79671,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
167,9:79672,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
168,9:79673,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
169,9:79674,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
170,9:79675,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
171,9:79676,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
172,9:79677,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
173,9:79678,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
174,9:79679,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
175,10:R80,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
176,10:R81,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
177,10:R82,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
178,8:458,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
179,8:593,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
180,8:593.2,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
181,8:788,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
182,8:788.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
183,8:789,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
184,8:789.0,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
185,8:789.2,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
186,8:789.4,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
187,8:789.5,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
188,8:789.6,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
189,8:789.9,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
190,8:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
191,9:593,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
192,9:5936,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
193,9:791,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
194,9:7910,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
195,9:7911,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
196,9:7912,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
197,9:7913,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
198,9:7914,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
199,9:7915,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
200,9:7916,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
201,9:7917,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
202,9:7919,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
203,9:796,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
204,9:7960,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
205,10:A20,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
206,10:A21,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
207,10:A22,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
208,10:A23,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
209,10:A24,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
210,10:A25,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
211,10:A26,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
212,10:A27,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
213,10:A28,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
214,8:020,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
215,8:020.0,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
216,8:020.1,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
217,8:020.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
218,8:021,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
219,8:022,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
220,8:023,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
221,8:023.0,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
222,8:023.1,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
223,8:023.2,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
224,8:023.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
225,8:024,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
226,8:025,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
227,8:026,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
228,8:026.1,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
229,8:026.2,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
230,8:026.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
231,8:027,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
232,8:027.1,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
233,8:027.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
234,8:067,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
235,8:079,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
236,8:079.3,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
237,8:099,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
238,8:100,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
239,8:100.0,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
240,8:100.8,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
241,8:100.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
242,8:136,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
243,8:269,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
244,8:482,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
245,8:482.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
246,8:483,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
247,8:692,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
248,8:708,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
249,8:788,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
250,8:788.9,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
251,8:E930,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
252,8:E934,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
253,8:E936,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
254,8:E968,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
255,8:N962,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
256,8:N968,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
257,8:N977,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
258,8:N988,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
259,8:N994,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
260,8:N995,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
261,9:020,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
262,9:0200,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
263,9:0201,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
264,9:0202,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
265,9:0203,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
