ICD10,System,Description
A39,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A40,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A41,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A42,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A43,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A44,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A45,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A46,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A47,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A48,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A49,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A50,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A51,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A52,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A53,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A54,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A55,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A56,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A57,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A58,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A59,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A60,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A61,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A62,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A63,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A64,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
A65,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other spirochaetal diseases
A66,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other spirochaetal diseases
A67,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other spirochaetal diseases
A68,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other spirochaetal diseases
A69,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other spirochaetal diseases
A70,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other diseases caused by chlamydiae
A71,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other diseases caused by chlamydiae
A72,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other diseases caused by chlamydiae
A73,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other diseases caused by chlamydiae
A74,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other diseases caused by chlamydiae
A75,"Bacterial infections, and other intestinal infectious diseases, and STDs",Rickettsioses
A76,"Bacterial infections, and other intestinal infectious diseases, and STDs",Rickettsioses
A77,"Bacterial infections, and other intestinal infectious diseases, and STDs",Rickettsioses
A78,"Bacterial infections, and other intestinal infectious diseases, and STDs",Rickettsioses
A79,"Bacterial infections, and other intestinal infectious diseases, and STDs",Rickettsioses
A80,Viral infections,Viral infections of the central nervous system
A81,Viral infections,Viral infections of the central nervous system
A82,Viral infections,Viral infections of the central nervous system
A83,Viral infections,Viral infections of the central nervous system
A84,Viral infections,Viral infections of the central nervous system
A85,Viral infections,Viral infections of the central nervous system
A86,Viral infections,Viral infections of the central nervous system
A87,Viral infections,Viral infections of the central nervous system
A88,Viral infections,Viral infections of the central nervous system
A89,Viral infections,Viral infections of the central nervous system
A90,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A91,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A92,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A93,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A94,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A95,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A96,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A97,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A98,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
A99,Viral infections,Arthropod-borne viral fevers and viral haemorrhagic fevers
B00,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B01,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B02,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B03,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B04,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B05,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B06,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B07,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B08,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B09,Viral infections,Viral infections characterized by skin and mucous membrane lesions
B10,Viral infections,Other human herpesviruses
B15,Viral infections,Viral hepatitis
B16,Viral infections,Viral hepatitis
B17,Viral infections,Viral hepatitis
B18,Viral infections,Viral hepatitis
B19,Viral infections,Viral hepatitis
B20,Viral infections,Human immunodeficiency virus (HIV) disease
B21,Viral infections,Human immunodeficiency virus (HIV) disease
B22,Viral infections,Human immunodeficiency virus (HIV) disease
B23,Viral infections,Human immunodeficiency virus (HIV) disease
B24,Viral infections,Human immunodeficiency virus (HIV) disease
B25,Viral infections,Other viral diseases
B26,Viral infections,Other viral diseases
B27,Viral infections,Other viral diseases
B28,Viral infections,Other viral diseases
B29,Viral infections,Other viral diseases
B30,Viral infections,Other viral diseases
B31,Viral infections,Other viral diseases
B32,Viral infections,Other viral diseases
B33,Viral infections,Other viral diseases
B34,Viral infections,Other viral diseases
B35,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B36,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B37,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B38,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B39,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B40,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B41,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B42,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B43,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B44,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B45,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B46,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B47,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B48,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B49,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
B50,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B51,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B52,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B53,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B54,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B55,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B56,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B57,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B58,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B59,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B60,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B61,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B62,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B63,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B64,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
B65,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B66,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B67,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B68,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B69,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B70,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B71,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B72,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B73,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B74,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B75,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B76,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B77,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B78,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B79,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B80,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B81,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B82,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B83,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
B85,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
B86,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
B87,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
B88,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
B89,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
B90,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
B91,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
B92,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
B93,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
B94,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
B95,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
B96,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
B97,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
B99,"Sequelae, and diseases classified elsewhere",Other infectious diseases
C00,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C01,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C02,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C03,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C04,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C05,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C06,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C07,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C08,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C09,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C10,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C11,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C12,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C13,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C14,Neoplasms,"Malignant neoplasms, lip, oral cavity and pharynx"
C15,Neoplasms,"Malignant neoplasms, digestive organs"
C16,Neoplasms,"Malignant neoplasms, digestive organs"
C17,Neoplasms,"Malignant neoplasms, digestive organs"
C18,Neoplasms,"Malignant neoplasms, digestive organs"
C19,Neoplasms,"Malignant neoplasms, digestive organs"
C20,Neoplasms,"Malignant neoplasms, digestive organs"
C21,Neoplasms,"Malignant neoplasms, digestive organs"
C22,Neoplasms,"Malignant neoplasms, digestive organs"
C23,Neoplasms,"Malignant neoplasms, digestive organs"
C24,Neoplasms,"Malignant neoplasms, digestive organs"
C25,Neoplasms,"Malignant neoplasms, digestive organs"
C26,Neoplasms,"Malignant neoplasms, digestive organs"
C30,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C31,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C32,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C33,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C34,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C35,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C36,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C37,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C38,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C39,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
C40,Neoplasms,"Malignant neoplasms, bone and articular cartilage"
C41,Neoplasms,"Malignant neoplasms, bone and articular cartilage"
C43,Neoplasms,"Malignant neoplasms, skin"
C44,Neoplasms,"Malignant neoplasms, skin"
C4A,Neoplasms,"Malignant neoplasms, skin"
C45,Neoplasms,"Malignant neoplasms, connective and soft tissue"
C46,Neoplasms,"Malignant neoplasms, connective and soft tissue"
C47,Neoplasms,"Malignant neoplasms, connective and soft tissue"
C48,Neoplasms,"Malignant neoplasms, connective and soft tissue"
C49,Neoplasms,"Malignant neoplasms, connective and soft tissue"
C50,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C51,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C52,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C53,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C54,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C55,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C56,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C57,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C58,Neoplasms,"Malignant neoplasms, breast and female genital organs"
C60,Neoplasms,Malignant neoplasms of male genital organs
C61,Neoplasms,Malignant neoplasms of male genital organs
C62,Neoplasms,Malignant neoplasms of male genital organs
C63,Neoplasms,Malignant neoplasms of male genital organs
C64,Neoplasms,"Malignant neoplasms, urinary organs"
C65,Neoplasms,"Malignant neoplasms, urinary organs"
C66,Neoplasms,"Malignant neoplasms, urinary organs"
C67,Neoplasms,"Malignant neoplasms, urinary organs"
C68,Neoplasms,"Malignant neoplasms, urinary organs"
C69,Neoplasms,"Malignant neoplasms, eye, brain and central nervous system"
C70,Neoplasms,"Malignant neoplasms, eye, brain and central nervous system"
C71,Neoplasms,"Malignant neoplasms, eye, brain and central nervous system"
C72,Neoplasms,"Malignant neoplasms, eye, brain and central nervous system"
C73,Neoplasms,"Malignant neoplasms, endocrine glands and related structures"
C74,Neoplasms,"Malignant neoplasms, endocrine glands and related structures"
C75,Neoplasms,"Malignant neoplasms, endocrine glands and related structures"
C76,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
C77,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
C78,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
C79,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
C80,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
C81,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C82,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C83,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C84,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C85,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C86,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C87,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C88,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C89,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C90,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C91,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C92,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C93,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C94,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C95,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C96,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
C7A,Neoplasms,Malignant neuroendocrine tumors
C7B,Neoplasms,Secondary neuroendocrine tumors
C97,Neoplasms,Malignant neoplasms of independent (primary) multiple sites
D00,Neoplasms,In situ neoplasms
D01,Neoplasms,In situ neoplasms
D02,Neoplasms,In situ neoplasms
D03,Neoplasms,In situ neoplasms
D04,Neoplasms,In situ neoplasms
D05,Neoplasms,In situ neoplasms
D06,Neoplasms,In situ neoplasms
D07,Neoplasms,In situ neoplasms
D08,Neoplasms,In situ neoplasms
D09,Neoplasms,In situ neoplasms
D10,Neoplasms,Benign neoplasms
D11,Neoplasms,Benign neoplasms
D12,Neoplasms,Benign neoplasms
D13,Neoplasms,Benign neoplasms
D14,Neoplasms,Benign neoplasms
D15,Neoplasms,Benign neoplasms
D16,Neoplasms,Benign neoplasms
D17,Neoplasms,Benign neoplasms
D18,Neoplasms,Benign neoplasms
D19,Neoplasms,Benign neoplasms
D20,Neoplasms,Benign neoplasms
D21,Neoplasms,Benign neoplasms
D22,Neoplasms,Benign neoplasms
D23,Neoplasms,Benign neoplasms
D24,Neoplasms,Benign neoplasms
D25,Neoplasms,Benign neoplasms
D26,Neoplasms,Benign neoplasms
D27,Neoplasms,Benign neoplasms
D28,Neoplasms,Benign neoplasms
D29,Neoplasms,Benign neoplasms
D30,Neoplasms,Benign neoplasms
D31,Neoplasms,Benign neoplasms
D32,Neoplasms,Benign neoplasms
D33,Neoplasms,Benign neoplasms
D34,Neoplasms,Benign neoplasms
D35,Neoplasms,Benign neoplasms
D36,Neoplasms,Benign neoplasms
D37,Neoplasms,Neoplasms of uncertain or unknown behaviour
D38,Neoplasms,Neoplasms of uncertain or unknown behaviour
D39,Neoplasms,Neoplasms of uncertain or unknown behaviour
D40,Neoplasms,Neoplasms of uncertain or unknown behaviour
D41,Neoplasms,Neoplasms of uncertain or unknown behaviour
D42,Neoplasms,Neoplasms of uncertain or unknown behaviour
D43,Neoplasms,Neoplasms of uncertain or unknown behaviour
D44,Neoplasms,Neoplasms of uncertain or unknown behaviour
D45,Neoplasms,Neoplasms of uncertain or unknown behaviour
D46,Neoplasms,Neoplasms of uncertain or unknown behaviour
D47,Neoplasms,Neoplasms of uncertain or unknown behaviour
D48,Neoplasms,Neoplasms of uncertain or unknown behaviour
D3A,Neoplasms,Benign neuroendocrine tumors
D49,Neoplasms,Neoplasms of unspecified behavior
D50,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anemias
D51,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anemias
D52,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anemias
D53,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anemias
D55,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D56,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D57,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D58,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D59,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D60,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D61,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D62,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D63,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D64,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D65,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D66,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D67,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D68,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D69,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D70,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D71,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D72,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D73,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D74,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D75,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D76,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D77,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D78,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Intraoperative and postprocedural complications of the spleen
D80,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D81,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D82,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D83,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D84,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D85,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D86,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D87,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D88,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
E00,Endocrine diseases,Thyroid gland / Thyroid hormone
E01,Endocrine diseases,Thyroid gland / Thyroid hormone
E02,Endocrine diseases,Thyroid gland / Thyroid hormone
E03,Endocrine diseases,Thyroid gland / Thyroid hormone
E04,Endocrine diseases,Thyroid gland / Thyroid hormone
E05,Endocrine diseases,Thyroid gland / Thyroid hormone
E06,Endocrine diseases,Thyroid gland / Thyroid hormone
E07,Endocrine diseases,Thyroid gland / Thyroid hormone
E08,Endocrine diseases,Diabetes mellitus
E09,Endocrine diseases,Diabetes mellitus
E10,Endocrine diseases,Diabetes mellitus
E11,Endocrine diseases,Diabetes mellitus
E12,Endocrine diseases,Diabetes mellitus
E13,Endocrine diseases,Diabetes mellitus
E14,Endocrine diseases,Diabetes mellitus
E15,Endocrine diseases,Other disorders of glucose regulation and pancreatic internal secretion
E16,Endocrine diseases,Other disorders of glucose regulation and pancreatic internal secretion
E20,Endocrine diseases,Parathyroid gland / PTH
E21,Endocrine diseases,Parathyroid gland / PTH
E22,Endocrine diseases,"Pituitary gland / ADH, oxytocin, GH, ACTH, TSH, LH, FSH, prolactin"
E23,Endocrine diseases,"Pituitary gland / ADH, oxytocin, GH, ACTH, TSH, LH, FSH, prolactin"
E24,Endocrine diseases,"Adrenal gland / Aldosterone, cortisol, epinephrine, norepinephrine"
E25,Endocrine diseases,"Adrenal gland / Aldosterone, cortisol, epinephrine, norepinephrine"
E26,Endocrine diseases,"Adrenal gland / Aldosterone, cortisol, epinephrine, norepinephrine"
E27,Endocrine diseases,"Adrenal gland / Aldosterone, cortisol, epinephrine, norepinephrine"
